Track_ID,Track_Name,Track_Artist,Preview_URL,Genre,Album
5SehvGGC53A7SZKCLXQcyt,Nico and the Niners,Twenty One Pilots,https://p.scdn.co/mp3-preview/68f0ee687aa4830c067eb90bb404961af459f530?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Trench
66hOCG7IpEJI5wfLDhajxD,Last Young Renegade,All Time Low,https://p.scdn.co/mp3-preview/d29b54667e2683db77bedbfda9027702653eebb2?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Home Alone
5e3YOg6fIkP0wD5TyxcHOH,Cult of Personality,Living Colour,https://p.scdn.co/mp3-preview/4e3121903a17eb8fce2604ce9aab762028aa4413?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Vivid (Expanded Edition)
4e3S4W8SmflgP8jwK2ceTZ,XO TOUR Llif3,Fame on Fire,https://p.scdn.co/mp3-preview/47242165a1bf2f654e7893a299a537ed968da138?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Luv Is Rage 2
0uppYCG86ajpV2hSR3dJJ0,Give It Away,Red Hot Chili Peppers,https://p.scdn.co/mp3-preview/fcdf3224d230b26b637418c2d1028bc482db7fce?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Blood Sugar Sex Magik (Deluxe Edition)
1fQaoh3imrMunWVZh5kf90,Shepherd of Fire,Avenged Sevenfold,https://p.scdn.co/mp3-preview/5e5c3d372ec98fb7ae98cdb723eb7ed6cf86ce6d?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Hail to the King
1E1uGhNdBe6Dddbgs2KqtZ,Jumpsuit,Twenty One Pilots,https://p.scdn.co/mp3-preview/764e1c0b5b1bca87f69d6c284ecde2616fa59d4e?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Trench
2RiBogNRfulkNf7fVbPOrJ,Saturday Sun,Vance Joy,https://p.scdn.co/mp3-preview/bfa87c7c2e4493e4d8c108e3de2b9bbd26dd2256?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Nation of Two
4PkJ7c9y1CwpuVOiJODnCZ,Someday,Nickelback,https://p.scdn.co/mp3-preview/d31979eb7639084cb6d5ad2dc7f483ff0afb6eb4?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Is This It
3zSaWBoojpQGDPO2oIL80H,One of Us,New Politics,https://p.scdn.co/mp3-preview/181b9dfb7adf1bf0af08ce2dbb5e39da800f208e?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack)
3lPj2nA1lIrWIpbnhNG57v,these are my friends,lovelytheband,https://p.scdn.co/mp3-preview/fe2357622de6e6841e45b8140817fc10cfb055d3?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,finding it hard to smile
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,https://p.scdn.co/mp3-preview/c119ca773ef844108da21c4679dc54c007cf0926?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Parachutes
1FTSo4v6BOZH9QxKc3MbVM,Song 2 - 2012 Remaster,Blur,https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Blur [Special Edition]
