Track_ID,Track_Name,Track_Artist,Preview_URL,Genre,Album
1eX5SoCjIWCIS3TGoZ6upR,The Lonesome Boatman,Dropkick Murphys,https://p.scdn.co/mp3-preview/a891eaa4735f8943f023ebc4932b18c1d98d9e02?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,11 Short Stories of Pain & Glory
6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,Motörhead,https://p.scdn.co/mp3-preview/34cf36a576042c34fa6dee1a6c9da3dec4e54d62?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Ace of Spades (Expanded Edition)
7nAfXgeHfDO50upcOjJOaq,Talking to Myself,Linkin Park,https://p.scdn.co/mp3-preview/3b4495d1092ad4675bf5abb8dfb840619a232122?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Talking to Myself
2qJkesdHu9sMMVFgkRkqhQ,Angel,Theory of a Deadman,https://p.scdn.co/mp3-preview/303f1e77ff52f67c85a755ed3bf1470acdb953ed?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Angels & Demons
6d16812ATxbVByyVgoEWBZ,Silvery Sometimes (Ghosts),The Smashing Pumpkins,https://p.scdn.co/mp3-preview/e7b1bf543cf852328936a1fcc223d48a047acdbd?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,"SHINY AND OH SO BRIGHT, VOL. 1 / LP: NO PAST. NO FUTURE. NO SUN."
5YBVDvTSSSiqv7KZDeUlXA,Renegades Of Funk,Rage Against The Machine,https://p.scdn.co/mp3-preview/6bc7e7fc964951969186acb7c905037057300a5b?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Renegades
7kzKAuUzOITUauHAhoMoxA,Last Nite,The Strokes,https://p.scdn.co/mp3-preview/dd2111a218b3007e3e23a6be300a87f02aee045a?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Is This It
0yTJtxZJ5VLfBEHhiNUNeY,Silvertongue,Young the Giant,https://p.scdn.co/mp3-preview/30cb1754607b7940fd845750c6793fd990464163?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Home of the Strange
3zSaWBoojpQGDPO2oIL80H,One of Us,New Politics,https://p.scdn.co/mp3-preview/181b9dfb7adf1bf0af08ce2dbb5e39da800f208e?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Mamma Mia! Here We Go Again (Original Motion Picture Soundtrack)
0q6LuUqGLUiCPP1cbdwFs3,On Melancholy Hill,Gorillaz,https://p.scdn.co/mp3-preview/cd7991e7076d0410677032dd9093a9cd712b69fd?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Plastic Beach
6p2liQLGoDaLXgND68bfVt,Coming Undone,Korn,https://p.scdn.co/mp3-preview/d0396584dc4e45b80545a7a0d97bc82806c2e940?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,See You On the Other Side
6TxWxE3IIWDgUVFy1aAItJ,Every Step That I Take (feat. Portugal. The Man & Whethan),Tom Morello,https://p.scdn.co/mp3-preview/be86b5cc3f4a7c08be980cae686e895cf560ea4d?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,The Atlas Underground
5wBaNy59nK8hJnx8AB2zRe,Roots,In This Moment,https://p.scdn.co/mp3-preview/428aa9e3a4229618c0cd61c0dcab4bfdddf45521?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Kingdom in Blue
07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster,Fleetwood Mac,https://p.scdn.co/mp3-preview/b4b050fb5f906aba4e08064c453d3344ea68e583?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Rumours (Super Deluxe)
2UDumaw7osnyjH7RZ2DLpB,I Am Machine,Three Days Grace,https://p.scdn.co/mp3-preview/2455cf008a7dfe31ae9d99755d1b563e3c46e2ca?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Human
6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,https://p.scdn.co/mp3-preview/d4aacf7e02038a401759df9a908756e4f71de0fb?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Riot!
1IqFh00G2kvvMm8pRMpehA,Me and Bobby McGee,Janis Joplin,https://p.scdn.co/mp3-preview/d24806aa02d1acb4b7b77ba99440e10e15cb9894?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Pearl (Legacy Edition)
0TaT50ZZxT4ytZxuqkE3A9,Why Can't This Be Love,Van Halen,https://p.scdn.co/mp3-preview/d9f039eb9addda53dcc15bbbbe24f3c0103c953b?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,5150
552BIJ9kKwwqiGf4YojYbL,Man of War,Radiohead,https://p.scdn.co/mp3-preview/93d25a0eb2401f63cbd7a1f284151c9b9e027256?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,OK Computer OKNOTOK 1997 2017
5Z5nbOXhsSbySVC7WUc6y9,Four Out Of Five,Arctic Monkeys,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Tranquility Base Hotel & Casino
0m9xl23pyUMGrxwP1YdSe2,Taipei Person / Allah Tea,Stone Sour,https://p.scdn.co/mp3-preview/0c3ac977982888101b449352f5dd7d7c5ac2ce71?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Hydrograd
4Y7fEQ4PAzhlLnLviRw2P4,Rockin' in the Free World,Neil Young,https://p.scdn.co/mp3-preview/5ad604341184d3504e9b747ce90082219ae6f1d7?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Freedom
23OXdR7YuUBVWh5hSnYJau,Chlorine,Twenty One Pilots,https://p.scdn.co/mp3-preview/80ca0295c294687e4ce72081a94e36ff32bd43d1?cid=08267e6d9cb548b181e3feb69f0b85f3,rock,Trench
